Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Stride length	Right step length	Left step length	Right preferred step length	Left preferred step length	Right heel strike	Left heel strike
33.855460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.858793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.862126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.865460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.868793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.872126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.875460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.878793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.882126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.885460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.888793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.892126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.895460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.898793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.902126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.905460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.908793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.912126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.915460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.918793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.922126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.925460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.928793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.932126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.935460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.938793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.942126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.945460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.948793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.952126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.955460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.958793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.962126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.965460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.968793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.972126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.975460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.978793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.982126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.985460	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.988793	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33.992126	0.000000	0.000000	0.056594	0.109583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
