subject_id,age,vis1_sr,vis1_sr_max,vis1_sr_min,invis_sr,invis_sr_max,invis_sr_min,vis2_sr,vis2_sr_max,vis2_sr_min,vis1_msl,vis1_msl_max,vis1_msl_min,invis_msl,invis_msl_max,invis_msl_min,vis2_msl,vis2_msl_max,vis2_msl_min,vis1_sd,vis1_sd_max,vis1_sd_min,invis_sd,invis_sd_max,invis_sd_min,vis2_sd,vis2_sd_max,vis2_sd_min,vis1_learning,vis1_learning_max,vis1_learning_min,invis_learning,invis_learning_max,invis_learning_min,vis2_learning,vis2_learning_max,vis2_learning_min
MUH1068,15.0,0.8531746031746031,0.55,0.8,0.7797029702970297,0.75,0.85,0.717948717948718,0.55,0.95,1.9961509464285716,2.340855825,1.65941115,1.9404661596534651,2.29526955,1.6484409,1.924588903846154,2.3227542750000003,1.5851988000000001,0.2400130458887909,0.15307164444204366,0.11174226017587593,0.26256008067402314,0.14611535758478283,0.0820346238686992,0.38379419911292,0.12650654976880546,0.08827773497028683,,0.8521395624999997,0.8514721250000004,,0.7381738750000001,0.8788977500000003,,0.806885687500001,1.037003
MUH1069,16.75,0.9206349206349206,0.9,0.9,0.9306930693069307,0.85,0.95,0.8846153846153846,0.8,1.0,1.966686226190476,2.3648313750000005,1.6256001000000002,1.9121776076732673,2.3846058749999997,1.669474125,1.9500190769230772,2.36979975,1.586219325,0.28833836070831204,0.10359963572163078,0.09103833365048974,0.3176594004997627,0.10943392045188918,0.05525585367796719,0.3900894341958114,0.11328687409956191,0.04074355429172848,,0.9120784375000015,0.9359997499999997,,0.9615146874999994,0.8263146875000001,,0.9244993749999999,1.0344516875
MUH1070,10.583333333333334,0.6944444444444444,0.4,0.3,0.7376237623762376,0.85,0.8,0.3717948717948718,0.2,0.8,1.9710466011904764,2.2523669250000005,1.7463978,1.9730459888613863,2.3659701749999997,1.6774899,1.678304442307692,1.790378025,1.6869068249999999,0.35604816334580497,0.1630254095298511,0.26749350271604727,0.3267203234792795,0.0981577337301221,0.10825268325051739,0.543012382804714,0.5796197947237408,0.08201768201804105,,0.6309173125000013,0.6340055000000001,,0.9149254374999995,0.80627525,,-0.5240549374999999,0.7827329375000005
MUH1071,10.583333333333334,0.6071428571428571,0.35,0.35,0.7079207920792079,0.0,0.65,0.7435897435897436,0.95,0.8,1.9802637857142857,2.2393003499999997,1.8298401000000002,2.0978126101485146,2.0066985749999997,1.7216109,2.03168,2.3874471,1.6676207250000001,0.20487506954116141,0.2621229830493443,0.19368077597758368,0.2531602860679932,0.3056082518569482,0.12417371021662821,0.3874034953750401,0.09954985349702399,0.13184437728380605,,0.5982508749999994,0.42539974999999963,,0.01674643749999927,0.6959727500000003,,0.9686177500000006,0.8309481874999999
MUH1072,15.25,0.8888888888888888,0.95,0.7,0.8663366336633663,0.7,0.95,0.8589743589743589,1.0,0.8,2.0343723928571427,2.3850718499999997,1.66618005,1.9503305235148516,2.3203389000000003,1.6295913000000002,1.9621346346153847,2.37276975,1.612878075,0.18752176756753822,0.08053993415627654,0.10195834799188447,0.328158196342476,0.07588120446610161,0.08222391529975363,0.3848098420858972,0.05979785360553461,0.09172485966913785,,0.9626796249999994,0.8345498750000004,,0.800847250000001,0.9260217499999998,,0.9319243749999997,0.9678048125000002
MUH1073,17.666666666666668,0.7976190476190477,0.35,0.75,0.8762376237623762,0.9,0.85,0.8717948717948718,0.95,0.9,1.9780020059523808,2.1793097999999995,1.65824055,2.013855891089109,2.3349148500000005,1.6679201249999998,1.947132384615385,2.35382745,1.624188225,0.3044725173178712,0.1721414941746897,0.09935887349320885,0.287996372699275,0.05571379798485622,0.08502954555606192,0.3734744664235343,0.07386404782416847,0.08132599936423436,,0.4482744999999989,0.8543986250000004,,0.8372871250000016,0.8301996875000008,,0.8845686249999998,0.9395294375000004
MUH1074,9.25,0.5634920634920635,0.45,0.35,0.5841584158415841,0.55,0.4,0.41025641025641024,0.3,0.45,2.0508949583333336,2.2222837500000003,1.8150314250000001,2.054805887376238,2.384920125,1.7793894000000001,1.9951495961538466,2.204936325,1.7239854750000003,0.44812862761051636,0.1714715082098957,0.2176542556500099,0.4016033557709403,0.4672187567262952,0.08688977262398244,0.39888596036146395,0.3238234499371807,0.23931997509904446,,0.555709375000001,0.46242143749999975,,0.9623003124999998,0.5515264999999998,,0.5123408124999996,0.6900363124999993
MUH1075,7.583333333333333,0.38492063492063494,0.2,0.35,0.44554455445544555,0.05,0.05,0.14102564102564102,0.05,0.1,1.9206167857142857,1.908260625,1.717592925,1.6017310247524752,1.595898225,2.132319525,1.8390473461538461,1.64788395,1.962397575,0.510803574687776,0.42465447192960604,0.4185294049020198,0.4662940492484871,0.28032598479099086,0.23217159297078407,0.47066870668397637,0.4513624333988533,0.15739006648896867,,-0.22934843749999995,0.7060176875000003,,-1.0102544375000002,-0.3307988125000006,,-0.8802901250000003,0.09400606250000001
MUH1076,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUH1077,12.916666666666666,0.4774774774774775,0.0,0.5,,,,,,,1.6640193243243249,1.0772535,1.692601875,,,,,,,0.7774383219840852,0.7141128513144386,0.5662725955767536,,,,,,,,-6.922329332333073,,,,,,,
