Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position
806.329479	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.332813	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.336146	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.339479	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.342813	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.346146	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.349479	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.352813	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.356146	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.359479	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.362813	0.597256	0.333115	0.401259	277.655212	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
